,folder_name,clip_name,frame_id,human_id,object_id,object_class,action,hmn_x1,hmn_y1,hmn_x2,hmn_y2,obj_x1,obj_y1,obj_x2,obj_y2
368,20200514,clip_4_1523,44,220,227,bicycle,ride,151,113,160,131,152,125,159,134
369,20200514,clip_4_1523,45,220,227,bicycle,ride,159,116,168,137,160,125,166,138
370,20200514,clip_4_1523,46,220,227,bicycle,ride,165,120,173,141,167,130,172,144
371,20200514,clip_4_1523,47,220,227,bicycle,ride,172,127,176,140,178,135,183,150
372,20200514,clip_4_1523,49,220,227,bicycle,ride,195,134,206,154,199,144,204,163
373,20200514,clip_4_1523,50,220,227,bicycle,ride,205,142,216,168,208,156,215,175
374,20200514,clip_4_1523,51,220,227,bicycle,ride,215,148,228,176,216,164,225,187
375,20200514,clip_4_1523,52,220,227,bicycle,ride,233,158,247,191,236,176,246,199
376,20200514,clip_4_1523,53,220,227,bicycle,ride,258,170,274,206,262,187,274,215
377,20200514,clip_4_1523,54,220,227,bicycle,ride,289,184,307,223,293,206,307,239
378,20200514,clip_4_1523,55,220,227,bicycle,ride,325,202,344,248,329,225,347,267
379,20200514,clip_6_1619,10,304,305,bicycle,ride,332,206,358,268,337,236,358,267
380,20200514,clip_6_1619,11,304,305,bicycle,ride,277,174,296,227,277,201,296,226
381,20200514,clip_6_1619,12,304,305,bicycle,ride,240,158,257,196,239,178,258,195
382,20200514,clip_6_1619,13,304,305,bicycle,ride,212,142,227,179,212,162,229,179
383,20200514,clip_6_1619,14,304,305,bicycle,ride,192,133,205,170,191,152,204,170
384,20200514,clip_6_1619,15,304,305,bicycle,ride,183,125,195,159,186,141,195,156
385,20200514,clip_6_1619,16,304,305,bicycle,ride,173,117,185,147,175,132,185,145
386,20200514,clip_6_1619,17,304,305,bicycle,ride,163,109,174,135,164,123,174,133
387,20200514,clip_6_1619,18,304,305,bicycle,ride,153,109,163,128,152,118,162,128
388,20200514,clip_6_1619,19,304,305,bicycle,ride,142,106,152,125,142,118,152,126
389,20200514,clip_6_1619,1,309,310,motorcycle,ride,108,94,111,107,108,103,111,107
390,20200514,clip_6_1619,2,309,310,motorcycle,ride,108,95,112,108,108,103,112,108
391,20200514,clip_6_1619,3,309,310,motorcycle,ride,109,95,113,109,109,104,113,109
392,20200514,clip_6_1619,4,309,310,motorcycle,ride,109,96,114,110,109,104,114,109
393,20200514,clip_6_1619,5,309,310,motorcycle,ride,110,96,115,110,110,104,116,110
394,20200514,clip_6_1619,6,309,310,motorcycle,ride,110,96,115,110,110,104,116,110
395,20200514,clip_6_1619,7,309,310,motorcycle,ride,112,97,118,112,112,106,118,112
396,20200514,clip_6_1619,11,309,310,motorcycle,ride,116,99,123,115,116,109,123,115
397,20200514,clip_6_1619,12,309,310,motorcycle,ride,121,99,128,116,122,109,128,116
398,20200514,clip_6_1619,13,309,310,motorcycle,ride,126,102,133,118,126,112,132,119
399,20200514,clip_6_1619,14,309,310,motorcycle,ride,128,104,134,120,128,113,134,120
400,20200514,clip_6_1619,15,309,310,motorcycle,ride,129,105,136,121,130,115,136,121
401,20200514,clip_6_1619,16,309,310,motorcycle,ride,130,105,137,122,131,115,137,122
402,20200514,clip_6_1619,17,309,310,motorcycle,ride,131,106,138,122,132,115,138,122
403,20200514,clip_6_1619,18,309,310,motorcycle,ride,129,108,137,127,128,120,136,127
404,20200514,clip_6_1619,19,309,310,motorcycle,ride,126,109,134,128,126,121,134,128
405,20200514,clip_6_1619,20,309,310,motorcycle,ride,123,110,132,130,124,123,131,130
406,20200514,clip_6_1619,21,309,310,motorcycle,ride,128,111,137,135,128,126,136,134
407,20200514,clip_6_1619,22,309,310,motorcycle,ride,137,112,147,136,138,127,146,135
408,20200514,clip_6_1619,23,309,310,motorcycle,ride,144,113,154,137,144,129,154,137
409,20200514,clip_6_1619,24,309,310,motorcycle,ride,146,115,156,138,147,130,156,138
410,20200514,clip_6_1619,25,309,310,motorcycle,ride,151,116,161,139,151,131,160,138
411,20200514,clip_6_1619,26,309,310,motorcycle,ride,157,119,167,143,157,135,166,143
412,20200514,clip_6_1619,27,309,310,motorcycle,ride,160,121,170,145,161,137,170,144
413,20200514,clip_6_1619,28,309,310,motorcycle,ride,165,122,174,150,165,142,174,149
414,20200514,clip_6_1619,29,309,310,motorcycle,ride,167,125,175,152,166,144,175,152
415,20200514,clip_6_1619,30,309,310,motorcycle,ride,178,129,186,152,177,147,187,155
416,20200514,clip_6_1619,32,309,310,motorcycle,ride,197,133,211,162,197,151,212,161
417,20200514,clip_6_1619,33,309,310,motorcycle,ride,204,136,218,166,203,155,218,165
418,20200514,clip_6_1619,34,309,310,motorcycle,ride,204,140,219,174,203,160,218,173
419,20200514,clip_6_1619,35,309,310,motorcycle,ride,210,145,224,181,210,167,225,180
420,20200514,clip_6_1619,36,309,310,motorcycle,ride,219,149,233,185,219,172,234,185
421,20200514,clip_6_1619,37,309,310,motorcycle,ride,228,154,242,192,229,177,243,191
422,20200514,clip_6_1619,38,309,310,motorcycle,ride,236,160,253,204,238,186,253,203
423,20200514,clip_6_1619,39,309,310,motorcycle,ride,248,168,264,211,249,194,264,210
424,20200514,clip_6_1619,40,309,310,motorcycle,ride,263,174,281,223,265,206,280,222
425,20200514,clip_6_1619,41,309,310,motorcycle,ride,277,183,297,235,279,214,296,234
